ANNEE,ID_REGION,REGION,ID_DEPT,DEPT,ID_DECHET,DECHET,ID_TRAITEMENT,TRAITEMENT,TONNES_TRAITEES,TONNES_COLLECTEES,POPULATION_DEPT,RATIO_COLLECTE,RATIO_TRAITEMENT
2009,84,Auvergne-Rhône-Alpes,1,Ain,01A,Ordures ménagères résiduelles,01B,Incinération avec récupération d'énergie,98575.12651,134208.6846,588853.0,227.915429,167.40192630418798
2009,84,Auvergne-Rhône-Alpes,1,Ain,01A,Ordures ménagères résiduelles,01D,Stockage,35633.55809,134208.6846,588853.0,227.915429,60.51350352295055
2009,84,Auvergne-Rhône-Alpes,1,Ain,01D,Emballages et papier,01A,Valorisation matière,22998.70319,23003.98339,588853.0,39.065748,39.05678189633066
2009,84,Auvergne-Rhône-Alpes,1,Ain,01D,Emballages et papier,01D,Stockage,5.28021,23003.98339,588853.0,39.065748,0.008966940815449697
2009,84,Auvergne-Rhône-Alpes,1,Ain,01F,Verre,01A,Valorisation matière,19660.99768,19660.99768,588853.0,33.388634,33.38863465075325
2009,84,Auvergne-Rhône-Alpes,3,Allier,01A,Ordures ménagères résiduelles,01B,Incinération avec récupération d'énergie,33016.14,105182.3669,343046.0,306.61301,96.24406056330638
2009,84,Auvergne-Rhône-Alpes,3,Allier,01A,Ordures ménagères résiduelles,01D,Stockage,37287.32538,105182.3669,343046.0,306.61301,108.69482629151776
2009,84,Auvergne-Rhône-Alpes,3,Allier,01A,Ordures ménagères résiduelles,01Z,Non précisé,34878.90156,105182.3669,343046.0,306.61301,101.67412405333395
2009,84,Auvergne-Rhône-Alpes,3,Allier,01D,Emballages et papier,01A,Valorisation matière,12042.5385,14045.70692,343046.0,40.944091,35.10473376748308
2009,84,Auvergne-Rhône-Alpes,3,Allier,01D,Emballages et papier,01D,Stockage,6.38872,14045.70692,343046.0,40.944091,0.018623508217556827
2009,84,Auvergne-Rhône-Alpes,3,Allier,01D,Emballages et papier,01Z,Non précisé,1996.77971,14045.70692,343046.0,40.944091,5.820734566209779
2009,84,Auvergne-Rhône-Alpes,3,Allier,01E,Biodéchets,01A,Valorisation matière,627.76647,,,,
2009,84,Auvergne-Rhône-Alpes,3,Allier,01F,Verre,01A,Valorisation matière,7420.25993,11011.31574,343046.0,32.098656,21.63050998991389
2009,84,Auvergne-Rhône-Alpes,3,Allier,01F,Verre,01Z,Non précisé,3591.0558,11011.31574,343046.0,32.098656,10.468146545944276
2009,84,Auvergne-Rhône-Alpes,7,Ardèche,01A,Ordures ménagères résiduelles,01D,Stockage,66946.29141,89088.4246,313578.0,284.102917,213.4916716415055
2009,84,Auvergne-Rhône-Alpes,7,Ardèche,01A,Ordures ménagères résiduelles,01E,Valorisation organique,20833.41318,89088.4246,313578.0,284.102917,66.43773855308727
2009,84,Auvergne-Rhône-Alpes,7,Ardèche,01A,Ordures ménagères résiduelles,01Z,Non précisé,1308.72,89088.4246,313578.0,284.102917,4.173507070011289
2009,84,Auvergne-Rhône-Alpes,7,Ardèche,01D,Emballages et papier,01A,Valorisation matière,12424.563,12432.72991,313578.0,39.647966,39.621921818494926
2009,84,Auvergne-Rhône-Alpes,7,Ardèche,01D,Emballages et papier,01Z,Non précisé,8.16689,12432.72991,313578.0,39.647966,0.02604420590730217
2009,84,Auvergne-Rhône-Alpes,7,Ardèche,01E,Biodéchets,01E,Valorisation organique,52.0,,,,
2009,84,Auvergne-Rhône-Alpes,7,Ardèche,01F,Verre,01A,Valorisation matière,10628.1583,10628.15831,313578.0,33.893188,33.89318861654835
2009,84,Auvergne-Rhône-Alpes,15,Cantal,01A,Ordures ménagères résiduelles,01B,Incinération avec récupération d'énergie,2714.2567,56636.91714,148380.0,381.701827,18.292604798490363
2009,84,Auvergne-Rhône-Alpes,15,Cantal,01A,Ordures ménagères résiduelles,01D,Stockage,23907.04588,56636.91714,148380.0,381.701827,161.12040625421218
2009,84,Auvergne-Rhône-Alpes,15,Cantal,01A,Ordures ménagères résiduelles,01Z,Non précisé,30015.61456,56636.91714,148380.0,381.701827,202.28881628251787
2009,84,Auvergne-Rhône-Alpes,15,Cantal,01D,Emballages et papier,01A,Valorisation matière,4140.50183,5261.73065,148380.0,35.461185,27.904716471222535
2009,84,Auvergne-Rhône-Alpes,15,Cantal,01D,Emballages et papier,01Z,Non précisé,1121.22883,5261.73065,148380.0,35.461185,7.55646872893921
2009,84,Auvergne-Rhône-Alpes,15,Cantal,01E,Biodéchets,01A,Valorisation matière,368.34,,,,
2009,84,Auvergne-Rhône-Alpes,15,Cantal,01F,Verre,01A,Valorisation matière,2735.82649,4219.05385,148380.0,28.434114,18.437973379161612
2009,84,Auvergne-Rhône-Alpes,15,Cantal,01F,Verre,01Z,Non précisé,1483.22736,4219.05385,148380.0,28.434114,9.996140719773555
2009,84,Auvergne-Rhône-Alpes,26,Drôme,01A,Ordures ménagères résiduelles,01B,Incinération avec récupération d'énergie,47.2124,131079.4256,482984.0,271.394964,0.0977514783098405
2009,84,Auvergne-Rhône-Alpes,26,Drôme,01A,Ordures ménagères résiduelles,01D,Stockage,127679.0664,131079.4256,482984.0,271.394964,264.3546502575654
2009,84,Auvergne-Rhône-Alpes,26,Drôme,01A,Ordures ménagères résiduelles,01E,Valorisation organique,3353.14682,131079.4256,482984.0,271.394964,6.942562942043629
2009,84,Auvergne-Rhône-Alpes,26,Drôme,01D,Emballages et papier,01A,Valorisation matière,19575.71436,19591.27185,482984.0,40.562983,40.53077195103772
2009,84,Auvergne-Rhône-Alpes,26,Drôme,01D,Emballages et papier,01Z,Non précisé,15.55751,19591.27185,482984.0,40.562983,0.03221123267023338
2009,84,Auvergne-Rhône-Alpes,26,Drôme,01E,Biodéchets,01E,Valorisation organique,1422.24,,,,
2009,84,Auvergne-Rhône-Alpes,26,Drôme,01F,Verre,01A,Valorisation matière,13982.62703,13983.43274,482984.0,28.952165,28.950497387077004
2009,84,Auvergne-Rhône-Alpes,26,Drôme,01F,Verre,01Z,Non précisé,0.80571,13983.43274,482984.0,28.952165,0.001668191906978285
2009,84,Auvergne-Rhône-Alpes,38,Isère,01A,Ordures ménagères résiduelles,01A,Valorisation matière,84290.0,292381.3888,1197038.0,244.254057,70.41547553210508
2009,84,Auvergne-Rhône-Alpes,38,Isère,01A,Ordures ménagères résiduelles,01B,Incinération avec récupération d'énergie,149054.0786,292381.3888,1197038.0,244.254057,124.5190867792
2009,84,Auvergne-Rhône-Alpes,38,Isère,01A,Ordures ménagères résiduelles,01C,Incinération sans récupération d'énergie,22595.15673,292381.3888,1197038.0,244.254057,18.875889261660866
2009,84,Auvergne-Rhône-Alpes,38,Isère,01A,Ordures ménagères résiduelles,01D,Stockage,36442.15355,292381.3888,1197038.0,244.254057,30.44360625978457
2009,84,Auvergne-Rhône-Alpes,38,Isère,01D,Emballages et papier,01A,Valorisation matière,61808.62987,61819.06277,1197038.0,51.643358,51.63464306897525
2009,84,Auvergne-Rhône-Alpes,38,Isère,01D,Emballages et papier,01Z,Non précisé,10.4329,61819.06277,1197038.0,51.643358,0.00871559633027523
2009,84,Auvergne-Rhône-Alpes,38,Isère,01E,Biodéchets,01A,Valorisation matière,79.0,,,,
2009,84,Auvergne-Rhône-Alpes,38,Isère,01E,Biodéchets,01E,Valorisation organique,2414.13,,,,
